,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
267,1050000,2014,Diesel,790000,white,10,2900,Manual 2WD,Mahindra,11
268,3550000,2018,Petrol,49000,blue,14,1500,Manual 2WD,Ford,7
269,2400000,2017,Petrol,29000,silver,15,1200,Manual 2WD,Tata,8
270,1075000,2013,Petrol,45000,blue,22,814,Manual 2WD,Hyundai,12
271,2650000,2015,Diesel,155000,white,15,2179,Auto 2WD,Mahindra,10
272,1200000,2013,Petrol,56000,white,15,1200,Manual 2WD,Ford,12
273,1800000,2014,Petrol,49000,green,14,1000,Auto 2WD,Maruti Suzuki,11
274,1300000,2010,Petrol,75000,white,12,1100,Manual 2WD,Hyundai,15
275,875000,1997,Diesel,49000,red,14,2800,Auto 4WD,Toyota,28
276,1025000,2006,Petrol,100000,grey,18,1100,Manual 2WD,Hyundai,19
277,1100000,2017,Petrol,72256,others,14,1300,Manual 2WD,Maruti Suzuki,8
278,1700000,2015,Diesel,49000,white,14,1200,Auto 4WD,Mahindra,10
279,895000,2014,Diesel,9800,silver,12,5223,Auto 2WD,Mahindra,11
280,1275000,2008,Petrol,62000,blue,14,1200,Manual 2WD,Hyundai,17
281,3600000,2021,Electric,25000,blue,270,1200,Auto 2WD,Tata,4
282,2550000,2018,Petrol,49000,others,15,800,Auto 2WD,Maruti Suzuki,7
283,1035000,2006,Petrol,68500,silver,15,1086,Manual 2WD,Hyundai,19
284,2300000,2018,Petrol,47000,white,16,1200,Auto 2WD,Ford,7
285,1485000,2010,Petrol,46374,silver,14,1200,Manual 2WD,Hyundai,15
286,2000000,2006,Diesel,54000,coffee,13,2000,Auto 4WD,Kia,19
287,2050000,2009,Diesel,85000,brown,16,1991,Auto 4WD,Hyundai,16
288,2700000,2010,Petrol,50000,silver,10,2000,Manual 2WD,Hyundai,15
289,5500000,2019,Electric,46000,silver,14,1200,Auto 2WD,Kia,6
290,2300000,2016,Diesel,60965,silver,18,2500,Manual 4WD,Other Brands,9
291,4499999,2017,Diesel,56000,silver,14,2499,Manual 4WD,Other Brands,8
292,1770000,2015,Petrol,75000,black,14,1500,Manual 2WD,Ford,10
293,24000000,2017,Diesel,78564,silver,14,3000,Auto 4WD,Toyota,8
294,400000,2003,Petrol,70000,white,14,796,Auto 2WD,Maruti Suzuki,22
295,2050000,2009,Petrol,77000,red,18,1200,Manual 2WD,Toyota,16
296,985000,2012,Petrol,52000,red,12,1200,Manual 2WD,Ford,13
297,1800000,2016,Petrol,50000,white,14,1200,Manual 2WD,Ford,9
298,2490000,2016,Petrol,47000,others,18,1300,Manual 2WD,Maruti Suzuki,9
299,699000,2004,Petrol,69000,white,69000,800,Manual 2WD,Maruti Suzuki,21
300,1375000,2009,Petrol,49000,silver,13,1298,Manual 2WD,Maruti Suzuki,16
301,775000,2003,Petrol,80000,blue,14,1100,Manual 2WD,Hyundai,22
302,2150000,2015,Petrol,42000,white,14,1500,Auto 2WD,Ford,10
303,1400000,2012,Petrol,49000,others,14,1200,Auto 2WD,Hyundai,13
304,2400000,2016,Petrol,30000,others,14,1200,Manual 2WD,Hyundai,9
305,1500000,2020,Diesel,49000,white,50,1200,Auto 4WD,Mahindra,5
306,1050000,2021,Diesel,30000,blue,18,800,Auto 2WD,Tata,4
307,1750000,2014,Petrol,49000,grey,14,1200,Manual 2WD,Hyundai,11
308,1450000,2010,Petrol,53000,silver,12,1200,Manual 2WD,Hyundai,15
309,4500000,2020,Diesel,55000,white,11,2500,Manual 4WD,Other Brands,5
310,575000,2012,Petrol,25000,others,14,1000,Manual 2WD,Chevrolet,13
311,900000,2017,Diesel,1700000,white,10,2900,Manual 2WD,Tata,8
312,600000,2004,Petrol,45000,grey,14,1300,Auto 2WD,Kia,21
313,11000000,2017,Diesel,35000,black,14,2157,Auto 4WD,Ssangyong,8
314,1450000,2017,Petrol,40000,silver,12,1200,Manual 2WD,Nissan,8
315,3450000,2021,Petrol,30000,silver,17,1497,Manual 2WD,Ford,4
316,1600000,2017,Diesel,70000,red,14,1656,Manual 4WD,Ford,8
317,2150000,2018,Petrol,38000,white,20,998,Auto 4WD,Maruti Suzuki,7
318,7000000,2008,Diesel,110000,silver,6,3000,Manual 4WD,Toyota,17
319,2450000,2010,Petrol,56000,grey,10,1998,Auto 4WD,Kia,15
320,1600000,2016,Diesel,49000,white,14,2523,Manual 4WD,Tata,9
321,1775000,2014,Petrol,57000,brown,14,1200,Manual 2WD,Honda,11
322,425000,1998,Diesel,49000,silver,14,2000,Manual 2WD,Nissan,27
323,1250000,2014,Petrol,23000,silver,17,800,Manual 2WD,Maruti Suzuki,11
324,2000000,2016,Petrol,49000,silver,14,1200,Manual 2WD,Maruti Suzuki,9
325,3400000,1998,Diesel,146000,blue,10,2800,Manual 4WD,Toyota,27
326,2950000,2015,Petrol,49000,silver,14,1600,Manual 2WD,Hyundai,10
327,850000,2006,Diesel,1500,silver,12,2950,Auto 2WD,Tata,19
328,1500000,2018,Diesel,35000,white,14,2999,Manual 2WD,Other Brands,7
329,1300000,2014,Diesel,50000,white,14,1248,Manual 2WD,Tata,11
330,3474000,2022,Petrol,315,blue,17,1197,Manual 2WD,Maruti Suzuki,3
331,1125000,2008,Petrol,76009,grey,14,1086,Auto 2WD,Hyundai,17
332,1500000,2017,Petrol,14000,white,14,1200,Power Steering,Datsun,8
333,4500000,2003,Petrol,62000,blue,14,2000,Auto 2WD,Other Brands,22
334,1250000,2007,Petrol,90000,gold,14,1500,Manual 2WD,Nissan,18
335,8300000,2016,Diesel,73000,white,14,3200,Auto 4WD,Ford,9
336,2900000,2021,Petrol,13000,silver,16,1200,Manual 2WD,Tata,4
