Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Yamaha FZs  150 v3 abs  sale or exchange Bike fres,"रू. 2,25,000",Automatic,Standard,Petrol,2020,,021,Blue,19k,150
Meteor 350. Digital meter console,"रू. 10,000",Manual,Cruiser,Petrol,2025,35,60,Black,0,350
Yamaha Aerox 155 (149 lot),"रू. 3,76,000",Automatic,Scooty,Petrol,2024,,149,,12000,
Yamaha Mt For Sale At Tinkune Kathamandu,"रू. 4,39,000",Manual,Others,Petrol,2024,50,,White,10000,155
Yamaha rayzr 76 lot on sale,"रू. 76,000",Automatic,Scooty,Petrol,2016,35,76,Green,35000,113
Fresh Honda Grazia 125cc Scooty on Urgent Sale,"रू. 1,25,000",Automatic,Scooty,Petrol,2019,35,107,Black,,125
pulsar 150 010lot 2016 model,"रू. 1,00,000",Manual,Standard,Petrol,2016,,,,,
vespa 003 lot,"रू. 1,10,000",Manual,Scooty,Petrol,2018,,,,,150
ntroq - 036 lot,"रू. 1,50,000",Manual,Scooty,Petrol,2021,,,,,
Vespa sxl 125cc 026lot,"रू. 1,75,000",Automatic,Scooty,Petrol,2020,,,,,
ntorq 016lot,"रू. 1,60,000",Automatic,Standard,Petrol,2020,,,,,
Honda Dio Fi System Fully Brand New Lot-046,"रू. 2,50,000",Manual,Scooty,Petrol,2024,,,,120000,
Single hand Honda Unicorn 82 lot 9803656430,"रू. 1,05,000",Automatic,Standard,Petrol,2017,45++,,,,
single hand bullet 2018 on sale or exchange,रू. 100,Manual,Standard,Petrol,2018,,99,black,53,350
vespa 003lot,"रू. 1,10,000",Automatic,Standard,Petrol,2018,,,,,
HONDA DIO SCOOTER,"रू. 1,40,000",Manual,Scooty,Petrol,2018,40,96,Red & Black,34600,110
avaitor 62 lot sale,"रू. 75,000",Automatic,Scooty,Petrol,2011,35,62,Maroon,49000,110
Single Hand Engine Ahile Samma Sil Pack Xa,"रू. 1,07,000",Manual,Scooty,Petrol,2017,40,79,Marun,22730,110
Honda aviator 49 lot sale,"रू. 65,000",Automatic,Scooty,Petrol,2009,35,49,White,59000,110
ns 200,"रू. 4,00,000",Automatic,Standard,Petrol,2025,,,,,
Hero Xpulse 200 Pro on Sale,"रू. 4,60,000",Automatic,Dirt,Petrol,2025,,,white,4400,200
rtr 002lot,"रू. 1,25,000",Automatic,Standard,Petrol,2018,,,,,
CB SHINE,"रू. 72,000",Manual,Standard,Petrol,2010,,,,,
I Smart Splinder Super Fresh Condicion Urgent Sell,"रू. 90,000",Manual,Standard,Petrol,2019,,,,,125
Pulsar 150,"रू. 1,35,000",Manual,Sport,Petrol,2017,40,87,Dark blue and White,,150
aviator - 027 lot,"रू. 1,60,000",Manual,Scooty,Petrol,2021,,,,,
