Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Dio dx Scooty in fresh condition . Urgent sale..,"रू. 2,00,000",Automatic,Scooty,Petrol,2019,50,044,Red,6000,110
hero xtreme 125r ABS new 2025 fixed price,"रू. 2,20,000",Manual,Sport,Petrol,2025,50,,blue,4600,125
Vespa 003 Lot,"रू. 1,15,000",Manual,Scooty,Petrol,2018,,,,,
Ntorq fi scooter,"रू. 2,00,000",Manual,Scooty,Petrol,2020,30,029,Red and black,32000,125
Pleasure Scooter For Sale in Kathmandu,"रू. 39,999.99",Manual,Scooty,Petrol,Lucky Number 07,62 KM/Ltr,22,Green,66k,102.00cc
TVs Rtr 160 4v On Urgent Sale,"रू. 1,52,000",Automatic,Standard,Petrol,2019,40,144,Blue,28000,160
"Bajaj 220 Pulsar 
9843645282","रू. 1,45,000",Manual,Standard,Petrol,2018,,,,,220
ktm duke 250 for sale,"रू. 3,65,000",Manual,Standard,Petrol,2020,30,,black,42000,250
Aprilia SR 125 2022 model 36 lot.,"रू. 1,60,000",Automatic,Scooty,Petrol,2022,,36,,23000,125
dominar 025lot,"रू. 3,10,000",Automatic,Standard,Petrol,2021,,,,,400
Classic 350 needed,"रू. 4,00,000",Manual,Standard,Petrol,2018,,,,,
pulsar 150 lot 77 super fresh condition,"रू. 1,05,000",Automatic,Sport,Petrol,2016,45,,,30000,150
DIO FI SYSTEM 046LOT,"रू. 2,50,000",Automatic,Standard,Petrol,2024,,,,,
R15v3 023Lot  fresh condition on sale,"रू. 2,70,000",Manual,Sport,Petrol,2020,,,,,
Duke KTM 200,"रू. 2,15,000",Manual,Sport,Petrol,2015,25-35,68,Black and White,39100,200
BAJAJ Pulsar 150cc 43 Lot Single Disc for Sale,"रू. 69,000",Automatic,Standard,Petrol,2010,38,43,Black,71000,150
Ntorq Squad Edition Like New 125 Lot,"रू. 1,65,000",Automatic,Scooty,Petrol,2021,45,125,,,125
Single Hand Used TVs Wego On Urgent Sale,"रू. 62,000",Automatic,Scooty,Petrol,2013,35,59,,28000,125
"ns 200 78 lot fresh bike , 9813296721","रू. 1,25,000",Manual,Standard,Petrol,2016,,,,,200
ntorq 036 lot,"रू. 1,50,000",Manual,Scooty,Petrol,2022,,,,,
Plusar 150 Fully Fresh Lot-50 Condition Super,"रू. 80,000",Manual,Sport,Petrol,2014,,,,35000,150
Yamaha MT-15 V2 162 Lots Sale/Xchange,"रू. 4,99,900",Automatic,Sport,Petrol,2025,45,062,Royal Blue,3400,155
URGENT FOR SALE TARO SPOTS GP2,"रू. 2,30,000",Manual,Sport,Petrol,2022,35,141,Red,3800,200
pleasure 007lot,"रू. 75,000",Automatic,Standard,Petrol,2019,,,,,
220 pulsar 001 lot,"रू. 1,65,000",Manual,Standard,Petrol,2018,,,,,
"ns 200 152 lot 2018 model bike , 9813296721","रू. 1,45,000",Manual,Standard,Petrol,2018,,,,,200
xpulse 026lot,"रू. 2,30,000",Automatic,Standard,Petrol,2021,,,,,
135 lot Duke 200 Bs6 Fi&Abs,"रू. 4,25,000",Automatic,Standard,Petrol,2022,30,135,black/orange,15000,200
Brand: Honda,"रू. 80,000",Manual,Sport,Petrol,2014,40 - 45,66,Black,40k,150cc
discovery 68lot,"रू. 65,000",Automatic,Standard,Petrol,2015,,,,,
Fzs V3 Brand new condition,"रू. 2,57,000",Automatic,Sport,Petrol,2021,47,131,Black,13500,150
v15 lot 77 super fresh condition,"रू. 75,000",Automatic,Sport,Petrol,2016,45,,,32000,150
