Name,Price,Transmission,Types,Fuel,Make Year,Mileage,URL
Dio scooter,"रू. 1,65,000",Automatic,Scooty,Petrol,2022,,https://hamrobazaar.com/product/dio-scooter-in-kathmandu/5ad83ea6f656d076c8c2d2a7aac7da7e
220 bajaj pulsar,"रू. 2,75,000",Automatic,Standard,Petrol,2023,,https://hamrobazaar.com/product/220-bajaj-pulsar-in-surkhet/e1f836aa7a0dfc505e61e4ef9743c0ee
TVs Apache 200cc 129 Lot 2021 Model 9823657076,"रू. 1,88,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/tvs-apache-200cc-129-lot-2021-model-9823657076-in-bhaktapur/e515cd97a4db11f979a223f0e18df257
SUZUKI GIXER SF155,"रू. 1,10,000",Manual,Sport,Petrol,2015,45,https://hamrobazaar.com/product/suzuki-gixer-sf155-in-kathmandu/8a0ef7e81ff6c426acdbd02875473889
150,"रू. 1,35,000",Manual,Standard,Petrol,2017,38,https://hamrobazaar.com/product/150-in-bhaktapur/019d019457ad2d2f969eb2377a3e32ef
"Dominar250D
2021model
Tax Clearance Upto 2083","रू. 2,60,000",Manual,Sport,Petrol,2021,25,https://hamrobazaar.com/product/dominar250d2021modeltax-clearance-upto-2083-in-kathmandu/36823ba7f102a740bc746724568e1292
Fz 250cc 98 Lot 2018 Model 9823657076,"रू. 1,53,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/fz-250cc-98-lot-2018-model-9823657076-in-bhaktapur/f0b56bf8fdc4edcd3e1329bfff7022e2
Ktm Duke 200 93 Lot Sale Or Exchange 2018 Model,"रू. 2,99,000",Manual,Sport,Petrol,2017,35,https://hamrobazaar.com/product/ktm-duke-200-93-lot-sale-or-exchange-2018-model-in-kathmandu/1848d36f459f6e5bc21f22bfb1ebacb0
Honda Unicorn 150cc 37 Lot 2013 Model 9823657076,"रू. 67,000",Manual,Standard,Petrol,2013,,https://hamrobazaar.com/product/honda-unicorn-150cc-37-lot-2013-model-9823657076-in-bhaktapur/c45bb6c5852593a1dd847559f2e70c2b
Fresh Low Run Yamaha Mt 15,"रू. 4,10,000",Manual,Sport,Petrol,2023,,https://hamrobazaar.com/product/fresh-low-run-yamaha-mt-15-in-kathmandu/d0d0ba5736c9f24a68ec458ff1d79f3c
Aprilla sr 150 Brand new 2025 model,"रू. 2,70,000",Manual,Scooty,Petrol,2025,,https://hamrobazaar.com/product/aprilla-sr-150-brand-new-2025-model-in-kathmandu/5dde85414e193daf2b2f3f64f630ec25
Suzuki Burman 125cc 110 lot 2021 model 9823657076,"रू. 1,15,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/suzuki-burman-125cc-110-lot-2021-model-9823657076-in-bhaktapur/b601e46ab78fc288962ee4cf306a01d1
Jawa 42 300cc 118 Lot Super Fresh Condition Sell,"रू. 2,78,000",Manual,Standard,Petrol,2020,,https://hamrobazaar.com/product/jawa-42-300cc-118-lot-super-fresh-condition-sell-in-bhaktapur/b13a77de2eff41d722683283037ecaa7
MT 15,"रू. 4,00,000",Automatic,Others,Petrol,2023,45,https://hamrobazaar.com/product/mt-15-in-bhaktapur/c4ad6a292d020c520dc33e73325f08d0
Suzuki let’s,"रु 70,000",Automatic,Scooty,Petrol,2018,40,https://hamrobazaar.com/product/suzuki-lets-in-lalitpur/be10c1f445f7af23add3f354f289a8cc
ns 200 on sale,रू. 130,Manual,Sport,Petrol,2018,35,https://hamrobazaar.com/product/ns-200-on-sale-in-kathmandu/5dcc1022a911674439cf795b04504db6
Pulsar Bike On Sale(Bajaj),"रू. 1,22,000",Automatic,Sport,Petrol,2016,40,https://hamrobazaar.com/product/pulsar-bike-on-sale-in-lalitpur/638d55ab13e443159e8189b06f9279f3
Honda shine unicorn on sell 75000/-,"रू. 75,000",Manual,Standard,Petrol,2010,50Km/liter,https://hamrobazaar.com/product/honda-shine-unicorn-on-sell-75000-in-kathmandu/eaa9ae0cec7540f18510544a60909bd6
"price = 160,000/-","रू. 1,60,000",Automatic,Scooty,Petrol,2019,40,https://hamrobazaar.com/product/price-160000-in-kathmandu/2d80c44a92d9d6ebb49d42ac20f8fc91
Brand New Ntroq Xp Top Model 9823657076,"रू. 3,00,000",Manual,Standard,Petrol,2024,,https://hamrobazaar.com/product/brand-new-ntroq-xp-top-model-9823657076-in-bhaktapur/61be0cb8928e28cce3d65e249d9fb98a
TVs Apache 200cc 129 Lot 2021 Model 9823657076,"रू. 1,88,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/tvs-apache-200cc-129-lot-2021-model-9823657076-in-bhaktapur/5d43fbb265b437de511467c2044df4e3
Dominar 400  like brand new,"रू. 3,95,000",Manual,Sport,Petrol,2022,35,https://hamrobazaar.com/product/dominar-400-like-brand-new-in-kathmandu/9a62d9a377da8606a3f91c23f4347f23
Ktm 390 Adventure In Best Condition|All Accesories,"रू. 7,50,000",Automatic,Dirt,Petrol,2021,28,https://hamrobazaar.com/product/ktm-390-adventure-in-best-conditionall-accesories-in-kathmandu/fe388d0dc36d45646fd6ef7fe8125044
Pulsar 150cc 82 Lot 9823657076,"रू. 1,18,000",Manual,Standard,Petrol,2017,,https://hamrobazaar.com/product/pulsar-150cc-82-lot-9823657076-in-bhaktapur/f3479810821f894e14e2f1f247456da9
KTM Duke 200cc Bs6 123 Lot 2021 Model 9823657076,"रू. 3,33,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/ktm-duke-200cc-bs6-123-lot-2021-model-9823657076-in-bhaktapur/d07e8ac690d5ad0373424764d27f8215
honda xl 185 on sale(1994 model),रू. 130,Manual,Dirt,Petrol,1990,,https://hamrobazaar.com/product/honda-xl-185-on-sale1994-model-in-nepal/b28e40a9079bfa71e53a423f7c562c19
TVs Ronin 225cc 9823657076,"रू. 3,88,000",,,,,,https://hamrobazaar.com/product/tvs-ronin-225cc-9823657076-in-bhaktapur/0cfe0e76c424c5f7b2a90970536daba6
honda aviator 007lot,"रू. 1,38,000",Automatic,Standard,Petrol,2019,,https://hamrobazaar.com/product/honda-aviator-007lot-in-bhaktapur/2d283a291be58afdc6832e6eacbf3ff2
Pulsar 150 Single Disk Is For Sale,"रू. 1,07,000",Automatic,Standard,Petrol,2017,35,https://hamrobazaar.com/product/pulsar-150-single-disk-is-for-sale-in-lalitpur/934ab222741e1d133b9383066f48ba33
very fresh bullet  sale or exchange,रू. 100,Manual,Standard,Petrol,2017,,https://hamrobazaar.com/product/very-fresh-bullet-sale-or-exchange-in-bhaktapur/a8101b7ecdb8170441aa7c656ac5060d
Honda XR 190 2018,"रू. 4,44,000",Manual,Dirt,Petrol,2018,,https://hamrobazaar.com/product/honda-xr-190-2018-in-lalitpur/f2970ba99ada7b1095ea2580a646db87
pulser 150 50lot,"रू. 75,000",Manual,Standard,Petrol,2013,,https://hamrobazaar.com/product/pulser-150-50lot-in-nepal/a38953619baa8e9a417ab7e022da4eb4
