,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
279,280000,Manual,Scooty,Petrol,2025,86,6000,50,125,Red,Honda
280,163000,Automatic,Scooty,Petrol,2019,13,23000,40,150,Other,Honda
281,220000,Automatic,Sport,Petrol,2021,86,23000,45,150,Other,FZ
282,90000,Manual,Standard,Petrol,2014,54,23000,45,125,Black,Honda
283,440000,Manual,Sport,Petrol,2022,2360073,14210,30,199,Silver,KTM
284,139000,Automatic,Standard,Petrol,2020,121,25000,45,125,Red,Hero
285,198000,Manual,Scooty,Petrol,2021,86,22000,40,125,Other,Other
286,378000,Manual,Sport,Petrol,2022,42,17000,50,155,Other,Other
287,135000,Manual,Scooty,Petrol,2020,86,23000,40,150,Other,Other
288,88000,Manual,Sport,Petrol,2014,86,27000,40,150,Other,Honda
289,105000,Automatic,Standard,Petrol,2017,86,23000,40,150,Other,Suzuki
290,115000,Automatic,Standard,Petrol,2017,86,23000,40,150,Other,Suzuki
291,155000,Manual,Sport,Petrol,2017,86,23000,40,249,Other,FZ
292,95000,Manual,Standard,Petrol,2015,71,23000,40,150,Other,Hero
293,45000,Manual,Standard,Petrol,2012,86,23000,40,150,Other,Suzuki
294,170000,Manual,Sport,Petrol,2022,145,23000,35,125,Other,Other
295,210000,Manual,Sport,Petrol,2018,13,35500,40,220,Red,Other
296,215000,Automatic,Scooty,Petrol,2025,60,800,50,125,Yellow,Hero
297,238000,Manual,Standard,Petrol,2020,121,24000,35,220,Blue,Bajaj
298,145000,Manual,Scooty,Petrol,2022,142,4700,65,110,Blue,Other
299,286000,Manual,Standard,Petrol,2020,118,23000,25,300,Other,Jawa
300,168000,Manual,Standard,Petrol,2021,86,42000,40,125,Red,Other
301,209000,Manual,Scooty,Petrol,2021,130,21000,50,125,Red,TVS
302,232000,Manual,Sport,Petrol,2021,146,25000,45,200,Other,Xpulse
